펀드상품명,펀드코드,펀드유형,보험 상품명
글로벌채권형II,KLVL34000NA,해외채권군,변액즉시연금보험
글로벌채권매크로전략형,KLVL34000NG,해외채권군,변액즉시연금보험
글로벌MVP채권형,KLVL340004W,해외채권군,변액즉시연금보험
이머징마켓채권형,KLVL3400W38,해외채권군,변액즉시연금보험
글로벌하이일드채권형,KLVL3400W34,해외채권군,변액즉시연금보험
선진국투자등급회사채권형,KLVL34000NZ,해외채권군,변액즉시연금보험
글로벌하이일드채권형(환오픈형),KLVL34001NO,해외채권군,변액즉시연금보험
달러MMF형(환오픈형),KLVL34001NP,해외채권군,변액즉시연금보험
달러미국채형(환오픈형),KLVL34001NQ,해외채권군,변액즉시연금보험
단기하이일드채권형,KLVL34000NT,해외채권군,변액즉시연금보험
미국하이일드채권형,KLVL34000NK,해외채권군,변액즉시연금보험
글로벌컨슈머주식형,KLVL34000N9,해외주식군,변액즉시연금보험
아시아그레이트컨슈머주식형,KLVL34000ND,해외주식군,변액즉시연금보험
글로벌성장주식형,KLVL34000N8,해외주식군,변액즉시연금보험
A+차이나,KLVL3400W28,해외주식군,변액즉시연금보험
선진마켓주식형,KLVL34000N7,해외주식군,변액즉시연금보험
글로벌헬스케어주식형,KLVL34002NZ,해외주식군,변액즉시연금보험
유럽주식형,KLVL3400W44,해외주식군,변액즉시연금보험
글로벌인덱스주식형,KLVL34000NV,해외주식군,변액즉시연금보험
미국주식형,KLVL34001NJ,해외주식군,변액즉시연금보험
글로벌신성장포커스주식형,KLVL3400W49,해외주식군,변액즉시연금보험
인도주식형,KLVL34001NK,해외주식군,변액즉시연금보험
글로벌IT소프트웨어주식형,KLVL34001NS,해외주식군,변액즉시연금보험
일본주식형,KLVL34000NX,해외주식군,변액즉시연금보험
ETF글로벌신성장주식형,KLVL34001NL,해외주식군,변액즉시연금보험
더나은미래글로벌ESG주식형,KLVL34001NT,해외주식군,변액즉시연금보험
[인덱스ETF]미국나스닥100,KLVL34001NU,해외주식군,변액즉시연금보험
국내채권형,KLVL34000N4,국내채권군,변액즉시연금보험
MMF형,KLVL3400V14,국내채권군,변액즉시연금보험
인덱스주식형,KLVL34000NB,국내주식군,변액즉시연금보험
배당주식형,KLVL3400W21,국내주식군,변액즉시연금보험
성장형,KLVL3400V11,국내주식군,변액즉시연금보험
ETF국내신성장주식형,KLVL34000N3,국내주식군,변액즉시연금보험
글로벌인프라부동산형,KLVL34001OA,대안투자군,변액즉시연금보험
글로벌멀티인컴,KLVL3400W39,대안투자군,변액즉시연금보험
글로벌MVP주식형,KLVL34001NI,포트폴리오군,변액즉시연금보험
글로벌MVP30,KLVL34000NS,포트폴리오군,변액즉시연금보험
ETF글로벌MVP30,KLVL34001NH,포트폴리오군,변액즉시연금보험
글로벌MVP60,KLVL34000NR,포트폴리오군,변액즉시연금보험
ETF글로벌MVP60,KLVL34001NF,포트폴리오군,변액즉시연금보험
목표수익추구형M(중립),KLVL3400W24,포트폴리오군,변액즉시연금보험
글로벌채권형II,KLVL34000NA,해외채권군,미래를 보는 변액연금보험
글로벌채권토탈리턴형,KLVL34000NF,해외채권군,미래를 보는 변액연금보험
글로벌채권매크로전략형,KLVL34000NG,해외채권군,미래를 보는 변액연금보험
글로벌MVP채권형,KLVL340004W,해외채권군,미래를 보는 변액연금보험
이머징마켓채권형,KLVL3400W38,해외채권군,미래를 보는 변액연금보험
글로벌하이일드채권형,KLVL3400W34,해외채권군,미래를 보는 변액연금보험
