펀드코드,펀드명,날짜,기준치 또는 성장률,,,,,,,,,
KLVL340000W,글로벌컨슈머섹터혼합자산배분형,2012,1036.15,,,,,,,,,
KLVL340000W,글로벌컨슈머섹터혼합자산배분형,2013,1118.29,,,,,,,,,
KLVL340000W,글로벌컨슈머섹터혼합자산배분형,2014,1231.84,,,,,,,,,
KLVL340000W,글로벌컨슈머섹터혼합자산배분형,2015,1280.95,,,,,,,,,
KLVL340000W,글로벌컨슈머섹터혼합자산배분형,2016,1298.83,,,,,,,,,
KLVL340000W,글로벌컨슈머섹터혼합자산배분형,2017,1373.99,,,,,,,,,
KLVL340000W,글로벌컨슈머섹터혼합자산배분형,2018,1446.19,,,,,,,,,
KLVL340000W,글로벌컨슈머섹터혼합자산배분형,2019,1466.72,,,,,,,,,
KLVL340000W,글로벌컨슈머섹터혼합자산배분형,2020,1719.24,,,,,,,,,
KLVL340000W,글로벌컨슈머섹터혼합자산배분형,2021,1914.5,,,,,,,,,
KLVL340000W,글로벌컨슈머섹터혼합자산배분형,최근 1년 수익률,89.80099243,,,,,,,,,
KLVL340000W,글로벌컨슈머섹터혼합자산배분형,연평균 수익률,107.1665529,,,,,,,,,
KLVL340000W,글로벌컨슈머섹터혼합자산배분형,2031 예상 기준가,3569.346603,,,,,,,,,
KLVL340001W,글로벌컨슈머섹터주식안정성장형,2012,1023,,,,,,,,,
KLVL340001W,글로벌컨슈머섹터주식안정성장형,2013,1125.22,,,,,,,,,
KLVL340001W,글로벌컨슈머섹터주식안정성장형,2014,1259.61,,,,,,,,,
KLVL340001W,글로벌컨슈머섹터주식안정성장형,2015,1317.33,,,,,,,,,
KLVL340001W,글로벌컨슈머섹터주식안정성장형,2016,1330.85,,,,,,,,,
KLVL340001W,글로벌컨슈머섹터주식안정성장형,2017,1446.21,,,,,,,,,
KLVL340001W,글로벌컨슈머섹터주식안정성장형,2018,1548.11,,,,,,,,,
KLVL340001W,글로벌컨슈머섹터주식안정성장형,2019,1600.05,,,,,,,,,
KLVL340001W,글로벌컨슈머섹터주식안정성장형,2020,1850.68,,,,,,,,,
KLVL340001W,글로벌컨슈머섹터주식안정성장형,2021,2093.16,,,,,,,,,
KLVL340001W,글로벌컨슈머섹터주식안정성장형,최근 1년 수익률,88.41560129,,,,,,,,,
KLVL340001W,글로벌컨슈머섹터주식안정성장형,연평균 수익률,108.3755127,,,,,,,,,
KLVL340001W,글로벌컨슈머섹터주식안정성장형,2031 예상 기준가,4317.008568,,,,,,,,,
KLVL340002W,글로벌채권매크로전략형,2012, ,,,,,,,,,
KLVL340002W,글로벌채권매크로전략형,2013,974.32,,,,,,,,,
KLVL340002W,글로벌채권매크로전략형,2014,1051.04,,,,,,,,,
KLVL340002W,글로벌채권매크로전략형,2015,990.23,,,,,,,,,
KLVL340002W,글로벌채권매크로전략형,2016,975.53,,,,,,,,,
KLVL340002W,글로벌채권매크로전략형,2017,1088.01,,,,,,,,,
KLVL340002W,글로벌채권매크로전략형,2018,1076.46,,,,,,,,,
KLVL340002W,글로벌채권매크로전략형,2019,1132.86,,,,,,,,,
KLVL340002W,글로벌채권매크로전략형,2020,1159.47,,,,,,,,,
KLVL340002W,글로벌채권매크로전략형,2021,1227.99,,,,,,,,,
KLVL340002W,글로벌채권매크로전략형,최근 1년 수익률,94.42015,,,,,,,,,
KLVL340002W,글로벌채권매크로전략형,연평균 수익률,103.0713118,,,,,,,,,
KLVL340002W,글로벌채권매크로전략형,2031 예상 기준가,1564.217919,,,,,,,,,
KLVL340003W,이머징마켓채권형,2012, ,,,,,,,,,
KLVL340003W,이머징마켓채권형,2013,905.52,,,,,,,,,
KLVL340003W,이머징마켓채권형,2014,1021.18,,,,,,,,,
KLVL340003W,이머징마켓채권형,2015,1023.04,,,,,,,,,
KLVL340003W,이머징마켓채권형,2016,1130.92,,,,,,,,,
KLVL340003W,이머징마켓채권형,2017,1172.22,,,,,,,,,
KLVL340003W,이머징마켓채권형,2018,1129.08,,,,,,,,,
KLVL340003W,이머징마켓채권형,2019,1265.25,,,,,,,,,
KLVL340003W,이머징마켓채권형,2020,1313.92,,,,,,,,,
KLVL340003W,이머징마켓채권형,2021,1313.66,,,,,,,,,
KLVL340003W,이머징마켓채권형,최근 1년 수익률,100.019792,,,,,,,,,
KLVL340003W,이머징마켓채권형,연평균 수익률,104.9198497,,,,,,,,,
KLVL340003W,이머징마켓채권형,2031 예상 기준가,1929.053415,,,,,,,,,
KLVL340004W,글로벌MVP채권형,2012, ,,,,,,,,,
KLVL340004W,글로벌MVP채권형,2013,966.88,,,,,,,,,
KLVL340004W,글로벌MVP채권형,2014,1050.91,,,,,,,,,
KLVL340004W,글로벌MVP채권형,2015,1042.56,,,,,,,,,
KLVL340004W,글로벌MVP채권형,2016,1066.97,,,,,,,,,
KLVL340004W,글로벌MVP채권형,2017,1071.2,,,,,,,,,
KLVL340004W,글로벌MVP채권형,2018,1050.98,,,,,,,,,
KLVL340004W,글로벌MVP채권형,2019,1086.64,,,,,,,,,
KLVL340004W,글로벌MVP채권형,2020,1105.66,,,,,,,,,
KLVL340004W,글로벌MVP채권형,2021,1160.52,,,,,,,,,
KLVL340004W,글로벌MVP채권형,최근 1년 수익률,95.27280874,,,,,,,,,
KLVL340004W,글로벌MVP채권형,연평균 수익률,102.3564507,,,,,,,,,
KLVL340004W,글로벌MVP채권형,2031 예상 기준가,1398.216344,,,,,,,,,
KLVL340005W,글로벌멀티전략혼합형,2012, ,,,,,,,,,
KLVL340005W,글로벌멀티전략혼합형,2013, ,,,,,,,,,
KLVL340005W,글로벌멀티전략혼합형,2014,1024.33,,,,,,,,,
KLVL340005W,글로벌멀티전략혼합형,2015,1054.79,,,,,,,,,
KLVL340005W,글로벌멀티전략혼합형,2016,1050.88,,,,,,,,,
KLVL340005W,글로벌멀티전략혼합형,2017,1063.33,,,,,,,,,
KLVL340005W,글로벌멀티전략혼합형,2018,1044.78,,,,,,,,,
KLVL340005W,글로벌멀티전략혼합형,2019,1070.1,,,,,,,,,
KLVL340005W,글로벌멀티전략혼합형,2020,1159.35,,,,,,,,,
KLVL340005W,글로벌멀티전략혼합형,2021,1252.41,,,,,,,,,
KLVL340005W,글로벌멀티전략혼합형,최근 1년 수익률,92.56952595,,,,,,,,,
KLVL340005W,글로벌멀티전략혼합형,연평균 수익률,102.9762705,,,,,,,,,
KLVL340005W,글로벌멀티전략혼합형,2031 예상 기준가,1537.824013,,,,,,,,,
KLVL340006W,글로벌0MVP050,2012, ,,,,,,,,,
KLVL340006W,글로벌0MVP050,2013, ,,,,,,,,,
KLVL340006W,글로벌0MVP050,2014, ,,,,,,,,,
KLVL340006W,글로벌0MVP050,2015,1020.99,,,,,,,,,
KLVL340006W,글로벌0MVP050,2016,1021.74,,,,,,,,,
KLVL340006W,글로벌0MVP050,2017,1093.92,,,,,,,,,
KLVL340006W,글로벌0MVP050,2018,1121.46,,,,,,,,,
KLVL340006W,글로벌0MVP050,2019,1176.14,,,,,,,,,
KLVL340006W,글로벌0MVP050,2020,1351.35,,,,,,,,,
KLVL340006W,글로벌0MVP050,2021,1494.63,,,,,,,,,
KLVL340006W,글로벌0MVP050,최근 1년 수익률,90.41368098,,,,,,,,,
KLVL340006W,글로벌0MVP050,연평균 수익률,106.6718305,,,,,,,,,
KLVL340006W,글로벌0MVP050,2031 예상 기준가,2202.075375,,,,,,,,,
KLVL34000N0,글로벌커머디티주식형,2012,974.13,,,,,,,,,
KLVL34000N0,글로벌커머디티주식형,2013,969.3,,,,,,,,,
KLVL34000N0,글로벌커머디티주식형,2014,898.63,,,,,,,,,
KLVL34000N0,글로벌커머디티주식형,2015,512.75,,,,,,,,,
KLVL34000N0,글로벌커머디티주식형,2016,477.47,,,,,,,,,
KLVL34000N0,글로벌커머디티주식형,2017,445.09,,,,,,,,,
KLVL34000N0,글로벌커머디티주식형,2018,524.86,,,,,,,,,
KLVL34000N0,글로벌커머디티주식형,2019,431.99,,,,,,,,,
KLVL34000N0,글로벌커머디티주식형,2020,383.38,,,,,,,,,
KLVL34000N0,글로벌커머디티주식형,2021,488.73,,,,,,,,,
KLVL34000N0,글로벌커머디티주식형,최근 1년 수익률,78.44413071,,,,,,,,,
KLVL34000N0,글로벌커머디티주식형,연평균 수익률,94.6738848,,,,,,,,,
KLVL34000N0,글로벌커머디티주식형,2031 예상 기준가,298.6350519,,,,,,,,,
KLVL34000N1,주식성장형Ⅱ,2012,932.48,,,,,,,,,
KLVL34000N1,주식성장형Ⅱ,2013,929.71,,,,,,,,,
KLVL34000N1,주식성장형Ⅱ,2014,1025.06,,,,,,,,,
KLVL34000N1,주식성장형Ⅱ,2015,886.04,,,,,,,,,
KLVL34000N1,주식성장형Ⅱ,2016,853.36,,,,,,,,,
KLVL34000N1,주식성장형Ⅱ,2017,940.31,,,,,,,,,
KLVL34000N1,주식성장형Ⅱ,2018,875.12,,,,,,,,,
KLVL34000N1,주식성장형Ⅱ,2019,753.24,,,,,,,,,
